url_length,url_num_params,url_num_special_chars,url_has_sql_keywords,url_has_xss_patterns,url_has_cmd_injection,url_has_traversal,url_has_ssrf_patterns,url_has_typosquatting,url_contains_ip,payload_length,payload_special_chars,payload_num_sql_keywords,payload_num_xss_patterns,payload_has_encoding,payload_is_empty,payload_contains_hex,is_error_response,is_success_response,response_size_ratio,source_ip_freq,source_ip_attack_ratio,is_known_attacker_ip,destination_ip_freq,destination_ip_attack_count,is_attack_tool_ua,ua_is_browser,ua_is_bot,ua_length,attack_pattern_sql,attack_pattern_xss,attack_pattern_cmd,attack_pattern_traversal,attack_pattern_ssrf,attack_pattern_typosquatting,attack_pattern_credential,special_chars_ratio,url_param_ratio,is_https,is_post_method,is_get_method,is_attack,attack_type_label
27,3,9,0,0,1,0,1,0,1,9,2,0,0,0,0,0,1,0,160.77777777777777,13,0.6153846153846154,0,997,619,1,0,0,17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0,0,0,1,command_injection
8,0,1,0,0,0,0,0,0,0,27,6,0,2,0,0,0,1,0,80.07407407407408,12,0.5833333333333334,0,961,575,0,1,0,91,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,0,1,xss
46,3,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,6,0.8333333333333334,0,961,575,0,1,0,81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0,0,0,0,normal
69,1,8,1,0,0,0,0,0,0,59,5,1,0,0,0,0,1,0,6.9491525423728815,7,0.5714285714285714,0,951,546,1,0,0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0847457627118644,0.014492753623188406,0,0,0,1,sql_injection
43,0,6,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,1,81.34482758620689,13,0.7692307692307693,0,998,578,0,1,0,80,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,typosquatting_url_spoofing
40,1,17,0,0,0,1,0,0,0,26,0,0,0,0,0,0,1,0,16.5,11,0.6363636363636364,0,1028,611,0,1,0,91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0,0,0,1,directory_traversal
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,15,0.4,0,951,546,0,0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,normal
57,1,5,1,0,0,0,0,0,0,47,1,0,0,0,0,1,1,0,109.8936170212766,7,0.5714285714285714,0,986,617,1,0,0,21,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.017543859649122806,0,0,0,1,sql_injection
8,0,1,0,0,0,0,0,0,0,27,2,0,3,0,0,0,1,0,260.51851851851853,12,0.6666666666666666,0,993,582,0,1,0,91,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0,0,0,1,xss
16,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,11,0.45454545454545453,0,951,546,0,1,0,80,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0,0,0,0,normal
14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,10,0.3,0,993,582,0,0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,normal
44,1,9,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,274.14814814814815,3,0.3333333333333333,0,986,617,1,0,0,17,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0,0,0,1,command_injection
6,0,1,0,0,0,0,0,0,0,34,1,0,0,0,0,0,1,0,209.02941176470588,7,0.2857142857142857,0,993,582,0,1,0,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0,0,0,1,credential_stuffing_brute_force
8,0,1,0,0,0,0,0,0,0,34,4,0,3,0,0,0,0,1,125.79411764705883,17,0.5294117647058824,0,1020,627,1,0,0,14,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0,0,0,1,xss
17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,10,0.7,0,1020,627,0,1,0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0,0,0,0,normal
